title,make,model,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR,VXR,VXL
Toyota Yaris Cross Hybrid Z 2020,Toyota,Yaris,2020,29000,"50-E, Moulana Shaukat Ali Road, Johar town Lahore",CompressedNaturalGas,Un-Registered,Silver,1500,Imported,automatic,367500,0,0
Honda Vezel 2014,Honda,Vezel,2014,76000,unknownLocation,Petrol,Islamabad,White,1500,Imported,automatic,370000,0,0
KIA Picanto 1.0 AT 2021,KIA,Picanto,2021,4700,unknownLocation,Petrol,Punjab,White,1000,local,automatic,252500,0,0
Toyota Vitz F 1.3 2005,Toyota,Vitz,2005,160000,unknownLocation,Petrol,Multan,Silver,1300,Imported,automatic,142500,0,0
Suzuki Cultus Limited Edition 2016,Suzuki,Cultus,2016,65000,unknownLocation,Petrol,Sindh,White,1000,local,unknown,128000,0,0
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,2020,21000,Jail road Lahore,CompressedNaturalGas,Lahore,Black,2800,local,automatic,860000,0,0
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,2020,18800,"Shara e Quaideen Road,Karachi",CompressedNaturalGas,Karachi,White,2800,local,automatic,1174800,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2018,Toyota,Corolla,2018,64000,unknownLocation,Petrol,Karachi,White,1800,local,automatic,355000,0,0
Suzuki Wagon R VXL 2017,Suzuki,Wagon,2017,69000,unknownLocation,Petrol,Rawalpindi,Grey,1000,local,unknown,165000,0,1
Toyota Corolla GLi 1.3 VVTi 2010,Toyota,Corolla,2010,164000,unknownLocation,Petrol,Karachi,Gold,1300,local,unknown,149000,0,0
Toyota Corolla Altis Grande CVT-i 1.8 2014,Toyota,Corolla,2014,91000,unknownLocation,Petrol,Lahore,White,1800,Imported,automatic,279000,0,0
Hyundai Tucson FWD A/T GLS Sport 2022,Hyundai,Tucson,2022,1,unknownLocation,Petrol,Un-Registered,White,2000,local,automatic,655000,0,0
Honda Civic VTi 1.8 i-VTEC 2009,Honda,Civic,2009,153000,unknownLocation,Petrol,Lahore,Black,1800,local,unknown,165000,0,0
Suzuki Alto VXR 2022,Suzuki,Alto,2022,25,unknownLocation,Petrol,Un-Registered,Silver,660,local,unknown,180000,1,0
Honda City 1.5L CVT 2022,Honda,City,2022,1,unknownLocation,Petrol,Un-Registered,Grey,1500,local,automatic,352000,0,0
Toyota Corolla SE Limited 1994,Toyota,Corolla,1994,81595,unknownLocation,Petrol,Un-Registered,Navy,1600,Imported,unknown,132000,0,0
