title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,1.5L DCT Lumiere  ,2022,5,,Petrol,Un-Registered,Silver,1500,,Automatic,300000
Toyota Aqua G 2013,Toyota,Aqua,G    ,2013,110646,,,Karachi,White,1500,Imported,Automatic,255000
Suzuki Cultus VXRi 2010,Suzuki,Cultus,VXRi    ,2010,150000,,Petrol,Lahore,Silver,1000,,,88000
Mercedes Benz E Class E200 2006,Mercedes,Benz,E Class E200  ,2006,95000,827-C Faisal Town Molana Shaukat Ali Road,Petrol,Lahore,Black,1800,Imported,Automatic,360000
Suzuki Wagon R 2014,Suzuki,Wagon,R    ,2014,69000,,Petrol,Karachi,Burgundy,660,Imported,Automatic,155000
Honda City Aspire 1.3 i-VTEC 2016,Honda,City,Aspire 1.3 i-VTEC  ,2016,90000,G/11 Markaz Near Punjab Bank Islamabad,Petrol,Islamabad,White,1300,,,229500
Toyota Corolla GLi 1.3 VVTi 2015,Toyota,Corolla,GLi 1.3 VVTi  ,2015,26000,,Petrol,Islamabad,Grey,1300,,,295000
Toyota Prado TX 2.7 2003,Toyota,Prado,TX 2.7   ,2003,125000,Main Boulevard DHA Lahore,Petrol,Lahore,Silver,2700,Imported,Automatic,580000
Toyota Yaris Cross Hybrid Z 2020,Toyota,Yaris,Cross Hybrid Z  ,2020,29000,"50-E, Moulana Shaukat Ali Road, Johar town Lahore",,Un-Registered,Silver,1500,Imported,Automatic,367500
Honda Vezel 2014,Honda,Vezel,    ,2014,76000,,Petrol,Islamabad,White,1500,Imported,Automatic,370000
KIA Picanto 1.0 AT 2021,KIA,Picanto,1 AT   ,2021,4700,,Petrol,Punjab,White,1000,,Automatic,252500
Toyota Vitz F 1.3 2005,Toyota,Vitz,F 1.3   ,2005,160000,,Petrol,Multan,Silver,1300,Imported,Automatic,142500
Suzuki Cultus Limited Edition 2016,Suzuki,Cultus,Limited Edition   ,2016,65000,,Petrol,Sindh,White,1000,,,128000
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,Revo V Automatic 2.8 ,2020,21000,Jail road Lahore,,Lahore,Black,2800,,Automatic,860000
Toyota Hilux Revo V Automatic 2.8 2020,Toyota,Hilux,Revo V Automatic 2.8 ,2020,18800,"Shara e Quaideen Road,Karachi",,Karachi,White,2800,,Automatic,
Toyota Corolla Altis Grande CVT-i 1.8 2018,Toyota,Corolla,Altis Grande CVT-i 1.8 ,2018,64000,,Petrol,Karachi,White,1800,,Automatic,355000
Suzuki Wagon R VXL 2017,Suzuki,Wagon,R VXL   ,2017,69000,,Petrol,Rawalpindi,Grey,1000,,,165000
Toyota Corolla GLi 1.3 VVTi 2010,Toyota,Corolla,GLi 1.3 VVTi  ,2010,164000,,Petrol,Karachi,Gold,1300,,,149000
Toyota Corolla Altis Grande CVT-i 1.8 2014,Toyota,Corolla,Altis Grande CVT-i 1.8 ,2014,91000,,Petrol,Lahore,White,1800,Imported,Automatic,279000
Hyundai Tucson FWD A/T GLS Sport 2022,Hyundai,Tucson,FWD A/T GLS Sport ,2022,1,,Petrol,Un-Registered,White,2000,,Automatic,655000
Honda Civic VTi 1.8 i-VTEC 2009,Honda,Civic,VTi 1.8 i-VTEC  ,2009,153000,,Petrol,Lahore,Black,1800,,,165000
Suzuki Alto VXR 2022,Suzuki,Alto,VXR    ,2022,25,,Petrol,Un-Registered,Silver,660,,,180000
Honda City 1.5L CVT 2022,Honda,City,1.5L CVT   ,2022,1,,Petrol,Un-Registered,Grey,1500,,Automatic,352000
Toyota Corolla SE Limited 1994,Toyota,Corolla,SE Limited   ,1994,81595,,Petrol,Un-Registered,Navy,1600,Imported,,132000
Mitsubishi Ek Wagon 2011,Mitsubishi,Ek,Wagon    ,2011,62405,,Petrol,Lahore,Silver,660,Imported,Automatic,147500
Daihatsu Mira L 2018,Daihatsu,Mira,L    ,2018,34000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,Petrol,Un-Registered,Black,660,Imported,Automatic,225000
Honda Civic Oriel 2022,Honda,Civic,Oriel    ,2022,5,,Petrol,Un-Registered,Black,1500,,Automatic,605000
Toyota Corolla XLi VVTi 2017,Toyota,Corolla,XLi VVTi   ,2017,30000,,Petrol,Islamabad,White,1300,,,295000
Changan Karvaan Plus 2022,Changan,Karvaan,Plus    ,2022,5,,Petrol,Un-Registered,White,1000,,,212500
Suzuki Cultus VXR 2007,Suzuki,Cultus,VXR    ,2007,100000,,Petrol,Lahore,White,1000,,,67500
Honda City 1.3 i-VTEC Prosmatec 2019,Honda,City,1.3 i-VTEC Prosmatec  ,2019,31424,"37 Commercial Zone, Liberty Market Lahore",Petrol,Karachi,White,1300,,Automatic,270000
Suzuki Cultus VXL 2006,Suzuki,Cultus,VXL    ,2006,170000,,Petrol,Lahore,Gold,1000,,,65000
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,Honda,Civic,VTi Oriel Prosmatec 1.8 i-VTEC,2011,130000,,Petrol,Lahore,Grey,1800,,Automatic,228500
Daihatsu Mira Custom X 2010,Daihatsu,Mira,Custom X   ,2010,65000,,Petrol,Lahore,Gold,660,Imported,Automatic,119000
KIA Sportage AWD 2020,KIA,Sportage,AWD    ,2020,180,,Petrol,Un-Registered,Black,2000,,Automatic,590000
Suzuki Cultus Auto Gear Shift 2020,Suzuki,Cultus,Auto Gear Shift  ,2020,28000,,Petrol,Karachi,White,1000,,Automatic,249500
Suzuki Alto VXR 2008,Suzuki,Alto,VXR    ,2008,140000,,Petrol,Sindh,Green,1000,,,64000
Suzuki Alto VXR 2019,Suzuki,Alto,VXR    ,2019,45000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Lahore,White,660,,,162500
Toyota Corolla SE Saloon Automatic 2004,Toyota,Corolla,SE Saloon Automatic  ,2004,260000,,Petrol,Lahore,Metallic Green,1600,,Automatic,185000
Honda Civic VTi 1.8 i-VTEC 2012,Honda,Civic,VTi 1.8 i-VTEC  ,2012,82000,,Petrol,Sindh,Black,1800,,,220000
Toyota Yaris ATIV CVT 1.3 2021,Toyota,Yaris,ATIV CVT 1.3  ,2021,9000,,Petrol,Gujranwala,Black,1300,,Automatic,300000
Toyota Premio X EX Package 1.8 2017,Toyota,Premio,X EX Package 1.8 ,2017,35000,Block-A Usaid plaza blue area Islamabad,Petrol,Un-Registered,Burgundy,1800,Imported,Automatic,785000
Suzuki Cultus VXL 2021,Suzuki,Cultus,VXL    ,2021,11000,Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur,Petrol,Punjab,White,1000,,,262500
Toyota Vitz B Intelligent Package 1.0 2008,Toyota,Vitz,B Intelligent Package 1 ,2008,102000,,Petrol,Islamabad,White,1000,Imported,Automatic,191500
MG HS 1.5 Turbo 2021,MG,HS,1.5 Turbo   ,2021,90,"148/4-A, Sehgal Plaza, Murree Road,Saddar, Rawalpindi Cantt",Petrol,Un-Registered,White,1500,,Automatic,
Suzuki Bolan 2019,Suzuki,Bolan,    ,2019,16300,,Petrol,Islamabad,White,800,,,117000
Toyota Corona 1994,Toyota,Corona,    ,1994,1,,Petrol,Karachi,Grey,1600,,,140000
Honda Vezel Hybrid Z 2016,Honda,Vezel,Hybrid Z   ,2016,83000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,,Un-Registered,Navy,1500,Imported,Automatic,450000
Toyota Vitz F Limited 1.0 2019,Toyota,Vitz,F Limited 1  ,2019,60085,189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road,Petrol,Un-Registered,Gold,1000,Imported,Automatic,307500
Nissan Dayz Highway Star 2015,Nissan,Dayz,Highway Star   ,2015,80000,,Petrol,Rawalpindi,Grey,1000,Imported,Automatic,162000
Suzuki Mehran VX (CNG) 2012,Suzuki,Mehran,VX (CNG)   ,2012,16,,,Abbottabad,White,800,,,58000
Suzuki Cultus Limited Edition 2016,Suzuki,Cultus,Limited Edition   ,2016,66000,,Petrol,Lahore,White,1000,,,128000
Toyota Corolla XLi 2004,Toyota,Corolla,XLi    ,2004,275000,,Petrol,Faisalabad,White,1300,,,125000
Suzuki Every PA 2009,Suzuki,Every,PA    ,2009,85000,,Petrol,Islamabad,White,660,Imported,Automatic,136500
