web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648914429-455","https://www.pakwheels.com/used-cars/search/-/","Toyota Premio  2017 X EX Package 1.8 for Sale","https://www.pakwheels.com/used-cars/toyota-premio-2017-for-sale-in-peshawar-6065693","Toyota Premio X EX Package 1.8 2017","35,000 km","Block-A Usaid plaza blue area Islamabad","null","Petrol","Un-Registered","Burgundy","1800 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 78.5 lacs"
"1648914372-436","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2021 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-bahawalpur-6051620","Suzuki Cultus VXL 2021","11,000 km","Baghdad Station Near Baqri Pump Hasil Pur Road Bahwalpur","2021","Petrol","Punjab","White","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 26.25 lacs"
"1648914713-551","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2008 B Intelligent Package 1.0 fo...","https://www.pakwheels.com/used-cars/toyota-vitz-2008-for-sale-in-islamabad-6065758","Toyota Vitz B Intelligent Package 1.0 2008","102,000 km","null","null","Petrol","Islamabad","White","1000 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 19.15 lacs"
"1648914435-457","https://www.pakwheels.com/used-cars/search/-/","MG HS  2021 1.5 Turbo for Sale","https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-6064795","MG HS 1.5 Turbo 2021","90 km","148/4-A, Sehgal Plaza, Murree Road,Saddar, Rawalpindi Cantt","2021","Petrol","Un-Registered","White","1500 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","Call for price"
"1648914293-415","https://www.pakwheels.com/used-cars/search/-/","Suzuki Bolan  2019  for Sale","https://www.pakwheels.com/used-cars/suzuki-bolan-2019-for-sale-in-rawalpindi-4218924","Suzuki Bolan 2019","16,300 km","null","null","Petrol","Islamabad","White","800 cc","null","null","null","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 11.7 lacs"
"1648914682-540","https://www.pakwheels.com/used-cars/search/-/","Toyota Corona  1994  for Sale","https://www.pakwheels.com/used-cars/toyota-corona-1994-for-sale-in-karachi-6065986","Toyota Corona 1994","1 km","null","null","Petrol","Karachi","Grey","1600 cc","null","null","null","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 14 lacs"
"1648914806-579","https://www.pakwheels.com/used-cars/search/-/","Honda Vezel  2016 Hybrid Z for Sale","https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-lahore-6065988","Honda Vezel Hybrid Z 2016","83,000 km","37-A Main Boulevard Shok Chowk Johar Town Lahore.","null","null","Un-Registered","Navy","1500 cc","Imported","null","Automatic","","","PKR 45 lacs"
"1648914477-469","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2019 F Limited 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-vitz-2019-for-sale-in-lahore-6033143","Toyota Vitz F Limited 1.0 2019","60,085 km","189-B PakArab Society Ferozpur Road15-A Moulana Shoukat Ali Road","null","Petrol","Un-Registered","Gold","1000 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 30.75 lacs"
"1648914524-486","https://www.pakwheels.com/used-cars/search/-/","Nissan Dayz Highway Star  2015  for Sale","https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2015-for-sale-in-peshawar-6065969","Nissan Dayz Highway Star 2015","80,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 16.2 lacs"
"1648914309-420","https://www.pakwheels.com/used-cars/search/-/","Suzuki Mehran  2012 VX (CNG) for Sale","https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-4420155","Suzuki Mehran VX (CNG) 2012","16 km","null","null","null","Abbottabad","White","800 cc","null","null","null","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 5.8 lacs"
"1648914565-501","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2016 Limited Edition for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-lahore-6065809","Suzuki Cultus Limited Edition 2016","66,000 km","null","null","Petrol","Lahore","White","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 12.8 lacs"
"1648914768-567","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2004 XLi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-jhang-6066028","Toyota Corolla XLi 2004","275,000 km","null","null","Petrol","Faisalabad","White","1300 cc","null","null","null","","","PKR 12.5 lacs"
"1648914392-442","https://www.pakwheels.com/used-cars/search/-/","Suzuki Every  2009 PA for Sale","https://www.pakwheels.com/used-cars/suzuki-every-2009-for-sale-in-kohat-6065936","Suzuki Every PA 2009","85,000 km","null","null","Petrol","Islamabad","White","660 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 13.65 lacs"
"1648914777-569","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2021 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-6066031","Suzuki Alto VXR 2021","8,500 km","null","2021","Petrol","Rawalpindi","White","660 cc","null","null","null","","","PKR 18.25 lacs"
"1648914483-471","https://www.pakwheels.com/used-cars/search/-/","Suzuki Cultus  2007 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-rawalpindi-6065949","Suzuki Cultus VXR 2007","95,000 km","null","null","Petrol","Lahore","White","1000 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 6.65 lacs"
"1648914650-530","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2009 VTi Oriel Prosmatec 1....","https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-karachi-6065845","Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2009","130,000 km","null","null","Petrol","Karachi","Silver","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 15.5 lacs"
"1648914579-505","https://www.pakwheels.com/used-cars/search/-/","Suzuki Every  2012  for Sale","https://www.pakwheels.com/used-cars/suzuki-every-2012-for-sale-in-faisalabad-6065979","Suzuki Every 2012","99,000 km","null","null","Petrol","Lahore","White","1000 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 12.9 lacs"
"1648914341-428","https://www.pakwheels.com/used-cars/search/-/","Toyota Land Cruiser 100 Series 2002 VX 4.2D fo...","https://www.pakwheels.com/used-cars/toyota-land-cruiser-2002-for-sale-in-islamabad-5798695","Toyota Land Cruiser VX 4.2D 2002","214,000 km","Blue Area Islamabad","null","null","Islamabad","White","4200 cc","Imported","null","Automatic","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 62 lacs"
"1648914618-519","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale","https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-6065995","Honda Civic Oriel 1.8 i-VTEC CVT 2021","4,500 km","null","2021","Petrol","Islamabad","White","1800 cc","null","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 47.7 lacs"
"1648914693-544","https://www.pakwheels.com/used-cars/search/-/","Toyota Fortuner  2019 2.8 Sigma 4 for Sale","https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-lahore-6066011","Toyota Fortuner 2.8 Sigma 4 2019","750,000 km","null","null","null","Islamabad","White","2800 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 96.85 lacs"
"1648914674-537","https://www.pakwheels.com/used-cars/search/-/","Honda Civic  2004 VTi Oriel 1.6 for Sale","https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-6066004","Honda Civic VTi Oriel 1.6 2004","130,000 km","null","null","Petrol","Sindh","White","1600 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 13.5 lacs"
"1648914462-465","https://www.pakwheels.com/used-cars/search/-/","Toyota Vitz  2018 F 1.0 for Sale","https://www.pakwheels.com/used-cars/toyota-vitz-2018-for-sale-in-lahore-6065761","Toyota Vitz F 1.0 2018","29,000 km","50-E, Moulana Shaukat Ali Road, Johar town Lahore","null","Petrol","Un-Registered","Black","1000 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 28.95 lacs"
"1648914306-419","https://www.pakwheels.com/used-cars/search/-/","Honda Freed  2012 + Hybrid B for Sale","https://www.pakwheels.com/used-cars/honda-freed-2012-for-sale-in-karachi-4418508","Honda Freed + Hybrid B 2012","78,000 km","null","null","Petrol","Karachi","White","1500 cc","Imported","null","Automatic","Last »","https://www.pakwheels.com/used-cars/search/-/?page=3162","PKR 24.5 lacs"
