web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648913206-288","https://www.pakwheels.com/used-cars/search/-/","Toyota Premio  2017 X EX Package 1.8 for Sale","https://www.pakwheels.com/used-cars/toyota-premio-2017-for-sale-in-peshawar-6065693","Toyota Premio X EX Package 1.8 2017","35,000 km","Block-A Usaid plaza blue area Islamabad","null","Petrol","Un-Registered","Burgundy","1800 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 78.5 lacs"
"1648913096-265","https://www.pakwheels.com/used-cars/search/-/","Honda City  2013 1.3 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-mardan-6065903","Honda City 1.3 i-VTEC 2013","200,000 km","null","null","Petrol","Punjab","Silver","1300 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 18 lacs"
"1648913483-344","https://www.pakwheels.com/used-cars/search/-/","Nissan Dayz Highway Star  2015  for Sale","https://www.pakwheels.com/used-cars/nissan-dayz-highway-star-2015-for-sale-in-peshawar-6065969","Nissan Dayz Highway Star 2015","80,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 16.2 lacs"
"1648913407-329","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2020 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2020-for-sale-in-lahore-6049580","Toyota Hilux Revo V Automatic 2.8 2020","21,000 km","Jail road Lahore","null","null","Lahore","Black","2800 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 86 lacs"
"1648913370-321","https://www.pakwheels.com/used-cars/search/-/","KIA Picanto  2021 1.0 AT for Sale","https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-5960313","KIA Picanto 1.0 AT 2021","2,501 km","null","2021","Petrol","Punjab","Blue","1000 cc","Imported","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 27 lacs"
"1648913159-278","https://www.pakwheels.com/used-cars/search/-/","Honda Freed  2012 + Hybrid G Honda Sensing for...","https://www.pakwheels.com/used-cars/honda-freed-2012-for-sale-in-islamabad-6019848","Honda Freed + Hybrid G Honda Sensing 2012","150,000 km","null","null","null","Islamabad","Turquoise","1500 cc","Imported","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 25.5 lacs"
"1648913642-377","https://www.pakwheels.com/used-cars/search/-/","Toyota Prado  2011 TX 2.7 for Sale","https://www.pakwheels.com/used-cars/toyota-prado-2011-for-sale-in-rawalpindi-6060795","Toyota Prado TX 2.7 2011","90,000 km","6th road near Nawaz Sharif park","null","Petrol","Lahore","Black","2700 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 1.26 crore"
"1648913742-398","https://www.pakwheels.com/used-cars/search/-/","Toyota Hilux  2022 Revo V Automatic 2.8 for Sale","https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-multan-6066009","Toyota Hilux Revo V Automatic 2.8 2022","10 km","null","null","null","Un-Registered","Black","2800 cc","null","null","Automatic","","","PKR 92 lacs"
"1648913431-333","https://www.pakwheels.com/used-cars/search/-/","Honda City  2013 Aspire 1.5 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-lakki-marwat-6065957","Honda City Aspire 1.5 i-VTEC 2013","82,000 km","null","null","Petrol","Karachi","Black","1500 cc","null","null","null","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 20 lacs"
"1648913215-290","https://www.pakwheels.com/used-cars/search/-/","MG HS  2021 1.5 Turbo for Sale","https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-6064795","MG HS 1.5 Turbo 2021","90 km","148/4-A, Sehgal Plaza, Murree Road,Saddar, Rawalpindi Cantt","2021","Petrol","Un-Registered","White","1500 cc","null","null","Automatic","5","https://www.pakwheels.com/used-cars/search/-/?page=5","Call for price"
